Mentions,Category,Reach,Weightage,Love Category,Love Negative,Love Positive,Trust Category,Trust Negative,Trust Positive,Affordability Category,Affordability Negative,Affordability Positive,Awareness Category,Awareness Negative,Awareness Positive
This is Ikea’s most ‘tuned’ star product: It can be customized 119 different ways ...,C,6214,0.25, ,,,,,,,,,,,1
DIY IKEA HACKS - Affordable DIY Furniture Home Decor Hacks!,C,1771,0.25, ,,,,,,,,1,,,
Design news: meet the ‘shellmet’ plus Ikea’s new range and women in design | Life and style ...,C,876,0.25, ,,,,,,,,,,,1
Design news: meet the ‘shellmet’ plus Ikea’s new range and women in design | Life and style ...,C,1614,0.25, ,,,,,,,,,,,1
Design news: meet the ‘shellmet’ plus Ikea’s new range and women in design | Life and style ...,C,26436,0.25, ,,,,,,,,,,,1
... Ikea to Build Omnichannel Presence in Tamil Nadu ...,C,28331,0.25, ,,,,,,,,,,,
... Ikea sets eyes on Tamil Nadu to build omnichannel presence ...,B,8241,0.5, ,,,,,,,,,,,
... Ikea sets eyes on Tamil Nadu to build omnichannel presence ...,A,1352,1, ,,,,,,,,,,,
... IKEA sees higher demand in Europe driven by home furnishings - CEO ...,A,18702,1, ,,,,,,,,,,,
... Ikea recalls thousands of mirrors because of “risk of injury”.,C,493240,0.25, ,,,,,,,,,,,
"Davos 2023: Ikea Bets On Low-Cost Model For Pan-India Presence, Says CFO Juvencio Maeztu ...",B,5249807,0.5, ,,,,,,,,,,,
"... IKEA and Sabine Marcelis present the VARMBLIXT collection, which focuses on sculptural design and light ...",B,129674,0.5, ,,,,,,,,,,,
"Davos 2023 | India is making IKEA better, says INGKA Group CFO Juvencio Maeztu ...",A,8241,1, ,,,,,,,,,,,
Artist Lana Manyfingers Indigenizes Ikea room ...,C,13739,0.25, ,,,,,,,,,,,
... Ikea’s Lettan mirrors recalled due to injury hazard ...,C,2409,0.25, ,,,,,,,,,,,
... Ikea India introduces its first external click-and-collect point in Bengaluru ...,C,6423,0.25, ,,,,,,,,,,,
Indigenous-inspired room unveiled in Calgary Ikea showroom – Calgary | Globalnews.ca ...,C,0,0.25, ,,,,,,,,,,,1
... Ikea’s Lettan mirrors recalled due to injury hazard ...,C,89335,0.25, ,,,,,,,,,,,
... IKEA plans major Irish move after huge sales as mega expansion plan unveiled ...,C,0,0.25, ,,,,,, Affordability,,,,,
... Ikea’s Lettan mirrors recalled due to injury hazard ...,C,0,0.25, ,,,,,,,,,,,
Amazing IKEA hack: 'Expensive' side tables are actually made from £15 bread bins ...,C,0,0.25, ,,,,,,,1,,,,
India according to IKEA’s Life at Home Report 2022 ...,C,0,0.25, ,,,,,,,,,,,
... IKEA furniture recalled over fears it could collapse and cause injury ...,C,0,0.25, ,,,,,,,,,,,
... IKEA furniture recalled over fears it could collapse and cause injury ...,C,268,0.25, ,,,,,,,,,,,
... IKEA furniture recalled over fears it could collapse and cause injury ...,C,253,0.25, ,,,,,,,,,,,
"Indians struggle with clutter, organizing space at home: IKEA ...",C,0,0.25, ,,,,,,,,,,,
"Indians struggle with clutter, organizing space at home: IKEA ...",A,0,1, ,,,,,,,,,,,
... Ikea kicks off construction process on the Noida site ...,C,11789255,0.25, ,,,,,,,,,,,
... Ikea kicks off construction process of its Noida store ...,C,0,0.25, ,,,,,,,,,,,
... IKEA India introduces its 1st external Click & Collect point ...,C,0,0.25, ,,,,,,,,,,,
... IKEA India introduces its 1st external Click & Collect point ...,B,329,0.5, ,,,,,,,,,,,
"Cuup, Adidas and Ikea: Best online sales right now ...",C,1220345,0.25, ,,,,,, Affordability,,,,,
"Cuup, Adidas and Ikea: Best online sales right now ...",C,0,0.25, ,,,,,, Affordability,,,,,
"Every min counts, says MP doc who saved man at IKEA store ...",A,0,1, ,,,,,,,,,,,
Man suffers heart attack while shopping at IKEA Bengaluru; Here's what happens next ...,A,7438703,1, ,,,,,,,,,,,
"Bengaluru: Man Suffers Heart Attack While Shopping At IKEA, Life Saved By Doctor Present In Store ...",A,0,1, ,,,,,,,,,,,
"Bengaluru: Man Suffers Heart Attack While Shopping at IKEA Store, Gets Revived by Doctor in Nick of Time (Watch Video) ...",A,843054,1, ,,,,,,,,,,,
Man Suffers Heart Attack While Shopping at IKEA Bengaluru; Watch How He Was Saved ...,C,0,0.25, ,,,,,,,,,,,
Caught on Camera: Man Suffers Heart Attack While Shopping at IKEA Bengaluru; Watch How He Was Saved ...,A,0,1, ,,,,,,,,,,,
Madurai towers over retail scene: Opens India’s largest retail store that beats Ikea hands down ...,C,0,0.25, ,,,,,,,,, Awareness,,
Video: Doctor performs CPR to person collapses at IKEA store ...,B,0,0.5, ,,,,,,,,,,,
