Date,Reach,Sentiment
24-Jan-2023 06:07PM,0,Positive
24-Jan-2023 05:43PM,1548,Negative
24-Jan-2023 05:31PM,1,Negative
24-Jan-2023 05:30PM,0,Not Rated
24-Jan-2023 05:26PM,0,Not Rated
24-Jan-2023 05:20PM,13,Positive
24-Jan-2023 05:18PM,0,Positive
24-Jan-2023 05:17PM,0,Not Rated
24-Jan-2023 05:09PM,0,Not Rated
24-Jan-2023 05:00PM,0,Not Rated
24-Jan-2023 04:57PM,0,Neutral
24-Jan-2023 04:49PM,0,Positive
24-Jan-2023 04:43PM,0,Neutral
24-Jan-2023 04:42PM,0,Neutral
24-Jan-2023 04:32PM,0,Neutral
24-Jan-2023 04:31PM,0,Not Rated
24-Jan-2023 04:26PM,0,Neutral
24-Jan-2023 04:25PM,349018,Positive
24-Jan-2023 04:24PM,0,Not Rated
24-Jan-2023 04:15PM,0,Not Rated
24-Jan-2023 04:10PM,0,Positive
24-Jan-2023 03:59PM,816,Neutral
24-Jan-2023 03:59PM,0,Not Rated
24-Jan-2023 03:48PM,0,Neutral
24-Jan-2023 03:39PM,1245996,Neutral
24-Jan-2023 03:29PM,0,Neutral
24-Jan-2023 02:44PM,0,Positive
24-Jan-2023 02:38PM,0,Neutral
24-Jan-2023 02:30PM,0,Not Rated
24-Jan-2023 02:07PM,0,Positive
24-Jan-2023 01:52PM,0,Positive
24-Jan-2023 01:37PM,0,Not Rated
24-Jan-2023 01:37PM,0,Positive
24-Jan-2023 01:37PM,0,Positive
24-Jan-2023 01:34PM,0,Neutral
24-Jan-2023 01:34PM,0,Positive
24-Jan-2023 01:33PM,4354,Neutral
24-Jan-2023 01:27PM,0,Not Rated
24-Jan-2023 01:15PM,897,Neutral
24-Jan-2023 01:00PM,0,Not Rated
24-Jan-2023 01:00PM,0,Not Rated
24-Jan-2023 12:53PM,0,Neutral
24-Jan-2023 12:51PM,0,Positive
24-Jan-2023 12:41PM,251443,Neutral
24-Jan-2023 12:24PM,0,Neutral
24-Jan-2023 11:58AM,0,Neutral
24-Jan-2023 11:14AM,0,Not Rated
24-Jan-2023 11:03AM,0,Positive
24-Jan-2023 11:01AM,0,Positive
24-Jan-2023 10:59AM,0,Not Rated
24-Jan-2023 10:58AM,17,Neutral
24-Jan-2023 10:57AM,0,Not Rated
24-Jan-2023 10:49AM,0,Not Rated
24-Jan-2023 10:45AM,0,Not Rated
24-Jan-2023 10:39AM,0,Positive
24-Jan-2023 10:20AM,0,Positive
24-Jan-2023 10:20AM,0,Positive
24-Jan-2023 10:17AM,0,Neutral
24-Jan-2023 10:07AM,0,Positive
24-Jan-2023 10:00AM,0,Not Rated
24-Jan-2023 10:00AM,0,Not Rated
24-Jan-2023 10:00AM,0,Not Rated
24-Jan-2023 09:35AM,0,Positive
24-Jan-2023 09:27AM,1619,Neutral
24-Jan-2023 09:22AM,0,Positive
24-Jan-2023 09:13AM,0,Positive
24-Jan-2023 09:09AM,0,Positive
24-Jan-2023 08:59AM,0,Not Rated
24-Jan-2023 08:47AM,0,Positive
24-Jan-2023 08:35AM,0,Not Rated
24-Jan-2023 08:11AM,0,Neutral
24-Jan-2023 07:55AM,5520,Neutral
24-Jan-2023 07:36AM,0,Not Rated
24-Jan-2023 07:22AM,0,Not Rated
24-Jan-2023 06:10AM,0,Positive
24-Jan-2023 05:29AM,10155,Neutral
24-Jan-2023 05:14AM,10,Neutral
24-Jan-2023 03:51AM,10399,Positive
24-Jan-2023 03:46AM,0,Neutral
24-Jan-2023 02:36AM,0,Negative
24-Jan-2023 01:37AM,86,Negative
24-Jan-2023 12:32AM,18121,Negative
24-Jan-2023 12:11AM,277,Negative
23-Jan-2023 11:54PM,1695,Positive
23-Jan-2023 11:18PM,0,Neutral
23-Jan-2023 11:07PM,862304,Neutral
23-Jan-2023 10:48PM,0,Positive
23-Jan-2023 10:38PM,22197753,Neutral
23-Jan-2023 10:22PM,216,Negative
23-Jan-2023 09:40PM,411,Neutral
23-Jan-2023 09:40PM,45192,Neutral
23-Jan-2023 09:40PM,45192,Neutral
23-Jan-2023 09:40PM,45192,Neutral
23-Jan-2023 09:40PM,546,Neutral
23-Jan-2023 09:40PM,3200,Neutral
23-Jan-2023 09:40PM,45192,Neutral
23-Jan-2023 09:40PM,45192,Neutral
23-Jan-2023 09:28PM,1399,Positive
23-Jan-2023 09:26PM,7,Negative
23-Jan-2023 09:24PM,231,Neutral
23-Jan-2023 09:15PM,65,Positive
23-Jan-2023 09:15PM,65,Positive
23-Jan-2023 09:12PM,34,Negative
23-Jan-2023 09:06PM,0,Positive
23-Jan-2023 09:04PM,0,Neutral
23-Jan-2023 09:00PM,66857,Neutral
23-Jan-2023 08:49PM,89335,Neutral
23-Jan-2023 08:41PM,238230,Positive
23-Jan-2023 08:39PM,11,Neutral
23-Jan-2023 08:35PM,45192,Neutral
23-Jan-2023 08:35PM,6537,Neutral
23-Jan-2023 08:35PM,45192,Neutral
23-Jan-2023 08:35PM,45192,Neutral
23-Jan-2023 08:35PM,45192,Neutral
23-Jan-2023 08:35PM,45192,Neutral
23-Jan-2023 08:30PM,203727,Neutral
23-Jan-2023 08:30PM,42,Neutral
23-Jan-2023 08:19PM,0,Neutral
23-Jan-2023 07:51PM,0,Not Rated
23-Jan-2023 07:40PM,0,Not Rated
23-Jan-2023 07:35PM,6351345,Positive
23-Jan-2023 07:26PM,0,Neutral
23-Jan-2023 07:20PM,0,Positive
23-Jan-2023 07:20PM,6950,Positive
23-Jan-2023 07:17PM,1119,Positive
23-Jan-2023 07:15PM,0,Not Rated
23-Jan-2023 07:14PM,16352496,Neutral
23-Jan-2023 07:10PM,208,Positive
23-Jan-2023 07:05PM,173428,Positive
23-Jan-2023 07:04PM,115760,Positive
23-Jan-2023 07:02PM,1826,Positive
23-Jan-2023 07:02PM,34080,Positive
23-Jan-2023 07:00PM,124220,Positive
23-Jan-2023 07:00PM,0,Not Rated
23-Jan-2023 06:51PM,7040,Positive
23-Jan-2023 06:48PM,1127,Positive
23-Jan-2023 06:35PM,65337,Neutral
23-Jan-2023 06:31PM,622840,Neutral
23-Jan-2023 06:18PM,49864,Neutral
23-Jan-2023 06:05PM,0,Not Rated
23-Jan-2023 06:02PM,68618,Positive
23-Jan-2023 06:00PM,0,Not Rated
23-Jan-2023 05:47PM,71111,Positive
23-Jan-2023 05:27PM,66,Negative
23-Jan-2023 05:13PM,4318533,Neutral
23-Jan-2023 04:55PM,0,Positive
23-Jan-2023 04:46PM,22022875,Positive
23-Jan-2023 04:40PM,20901256,Positive
23-Jan-2023 04:39PM,0,Not Rated
23-Jan-2023 04:31PM,0,Positive
23-Jan-2023 04:14PM,6351345,Positive
23-Jan-2023 04:04PM,618,Positive
23-Jan-2023 04:02PM,0,Not Rated
23-Jan-2023 04:00PM,0,Not Rated
23-Jan-2023 03:54PM,696991,Positive
23-Jan-2023 03:46PM,0,Positive
23-Jan-2023 03:44PM,9265,Neutral
23-Jan-2023 03:44PM,494924,Neutral
23-Jan-2023 03:05PM,52198885,Positive
23-Jan-2023 02:54PM,16,Neutral
23-Jan-2023 02:50PM,1190,Positive
23-Jan-2023 02:26PM,0,Neutral
23-Jan-2023 02:07PM,5327,Negative
23-Jan-2023 02:04PM,1,Neutral
23-Jan-2023 01:56PM,221353,Neutral
23-Jan-2023 01:53PM,221353,Positive
23-Jan-2023 01:28PM,0,Not Rated
23-Jan-2023 01:07PM,32970,Neutral
23-Jan-2023 12:49PM,42,Neutral
23-Jan-2023 12:42PM,279300,Positive
23-Jan-2023 12:03PM,99,Neutral
23-Jan-2023 11:53AM,0,Not Rated
23-Jan-2023 11:47AM,0,Positive
23-Jan-2023 11:39AM,124179,Negative
23-Jan-2023 11:25AM,0,Positive
23-Jan-2023 11:18AM,0,Not Rated
23-Jan-2023 11:12AM,19303618,Positive
23-Jan-2023 11:00AM,0,Not Rated
23-Jan-2023 10:59AM,131,Positive
23-Jan-2023 10:45AM,619987,Positive
23-Jan-2023 10:44AM,10,Neutral
23-Jan-2023 10:39AM,15911,Positive
23-Jan-2023 10:32AM,0,Neutral
23-Jan-2023 10:22AM,8241,Positive
23-Jan-2023 10:21AM,235072,Positive
23-Jan-2023 10:00AM,5761,Positive
23-Jan-2023 09:45AM,4,Positive
23-Jan-2023 09:40AM,0,Neutral
23-Jan-2023 09:28AM,0,Positive
23-Jan-2023 09:26AM,0,Positive
23-Jan-2023 09:23AM,471,Neutral
23-Jan-2023 09:14AM,0,Neutral
23-Jan-2023 08:04AM,0,Neutral
23-Jan-2023 08:00AM,72466,Neutral
23-Jan-2023 08:00AM,56684,Neutral
23-Jan-2023 08:00AM,30640,Neutral
23-Jan-2023 08:00AM,3970,Neutral
23-Jan-2023 07:23AM,170,Neutral
23-Jan-2023 07:00AM,0,Neutral
23-Jan-2023 06:08AM,556133,Positive
23-Jan-2023 05:58AM,0,Neutral
23-Jan-2023 05:44AM,0,Neutral
23-Jan-2023 03:57AM,16185088,Positive
23-Jan-2023 12:11AM,0,Neutral
23-Jan-2023 12:00AM,0,Positive
22-Jan-2023 11:59PM,115760,Positive
22-Jan-2023 11:36PM,0,Not Rated
22-Jan-2023 11:23PM,0,Not Rated
22-Jan-2023 11:03PM,113,Positive
22-Jan-2023 10:56PM,275,Positive
22-Jan-2023 10:36PM,5157,Neutral
22-Jan-2023 09:49PM,74,Not Rated
22-Jan-2023 07:51PM,0,Not Rated
22-Jan-2023 07:49PM,0,Not Rated
22-Jan-2023 07:42PM,0,Not Rated
22-Jan-2023 05:53PM,0,Not Rated
22-Jan-2023 05:33PM,0,Not Rated
22-Jan-2023 05:18PM,37,Neutral
22-Jan-2023 05:16PM,20546289,Neutral
22-Jan-2023 04:51PM,22,Not Rated
22-Jan-2023 03:55PM,392662,Neutral
22-Jan-2023 02:47PM,289072,Neutral
22-Jan-2023 02:43PM,0,Neutral
22-Jan-2023 02:40PM,9706893,Neutral
22-Jan-2023 01:56PM,39845,Neutral
22-Jan-2023 01:39PM,0,Neutral
22-Jan-2023 01:25PM,0,Neutral
22-Jan-2023 01:06PM,0,Not Rated
22-Jan-2023 01:03PM,2914,Neutral
22-Jan-2023 12:48PM,0,Neutral
22-Jan-2023 12:41PM,124089,Negative
22-Jan-2023 12:22PM,0,Negative
22-Jan-2023 11:49AM,0,Not Rated
22-Jan-2023 11:32AM,0,Neutral
22-Jan-2023 11:30AM,2,Neutral
22-Jan-2023 11:24AM,242,Neutral
22-Jan-2023 11:24AM,49771,Neutral
22-Jan-2023 11:15AM,0,Neutral
22-Jan-2023 11:15AM,0,Positive
22-Jan-2023 10:43AM,0,Not Rated
22-Jan-2023 10:29AM,0,Not Rated
22-Jan-2023 10:12AM,22197753,Neutral
22-Jan-2023 09:28AM,0,Not Rated
22-Jan-2023 08:35AM,0,Not Rated
22-Jan-2023 08:05AM,295,Neutral
22-Jan-2023 07:35AM,0,Not Rated
